Time,Kinetic_E,Potential_E,Total_E
4.3500,5529831.8408,-1328968.9453,4200862.8955
4.3600,5488030.5951,-1413457.8539,4074572.7413
4.3700,5488675.4061,-1303769.7972,4184905.6089
4.3800,5551538.8043,-1271147.9883,4280390.8161
4.3900,5610869.0392,-1403360.0443,4207508.9949
4.4000,5610950.6735,-1377504.6181,4233446.0553
4.4100,5607253.9545,-1447913.6876,4159340.2669
4.4200,5589545.2366,-1373084.7536,4216460.4830
4.4300,5585989.4513,-1234390.8356,4351598.6158
4.4400,5612630.0666,-1338084.6455,4274545.4211
4.4500,5645329.4923,-1345450.6771,4299878.8151
4.4600,5644194.3223,-1208213.2081,4435981.1142
4.4700,5539367.9706,-1403393.4587,4135974.5119
4.4800,5443496.2519,-1388414.0834,4055082.1685
4.4900,5381846.8394,-1460234.8407,3921611.9987
4.5000,5397453.3499,-1285382.5314,4112070.8186
4.5100,5389142.8787,-1301410.9396,4087731.9390
4.5200,5384607.4038,-1392159.8877,3992447.5161
4.5300,5359448.6888,-1237844.2672,4121604.4216
4.5400,5350790.7116,-1253741.0137,4097049.6978
4.5500,5330894.6357,-1269959.7034,4060934.9323
4.5600,5287368.5194,-1272205.8432,4015162.6762
4.5700,5274820.6765,-1338373.5395,3936447.1369
4.5800,5280086.4394,-1292771.4653,3987314.9742
4.5900,5286409.0198,-1300365.9383,3986043.0814
4.6000,5310047.9693,-1285765.1975,4024282.7718
4.6100,5353463.6892,-1365378.0918,3988085.5974
4.6200,5433424.7901,-1342428.5400,4090996.2501
4.6300,5453383.5429,-1307546.5402,4145837.0027
4.6400,5401302.4465,-1322046.0492,4079256.3973
4.6500,5371550.7485,-1300926.2906,4070624.4579
4.6600,5312668.0275,-1199876.9553,4112791.0722
4.6700,5318877.8013,-1381950.6545,3936927.1467
4.6800,5371999.8059,-1194343.8994,4177655.9065
4.6900,5384631.1321,-1417027.3032,3967603.8289
4.7000,5348008.9884,-1331716.2079,4016292.7805
4.7100,5321669.5284,-1353045.4559,3968624.0724
4.7200,5289077.3989,-1267906.4834,4021170.9155
4.7300,5291753.5292,-1361253.1470,3930500.3822
4.7400,5339846.2742,-1326419.4310,4013426.8432
4.7500,5346538.4950,-1291162.6249,4055375.8702
4.7600,5373045.0992,-1355358.9093,4017686.1899
4.7700,5420611.9626,-1311466.5540,4109145.4086
4.7800,5457951.6814,-1351211.7452,4106739.9363
4.7900,5521817.7701,-1303401.8725,4218415.8976
4.8000,5542211.8168,-1383808.4275,4158403.3893
4.8100,5552727.7602,-1249509.1659,4303218.5943
4.8200,5553456.4337,-1368650.8574,4184805.5763
4.8300,5514343.1470,-1338903.0993,4175440.0477
4.8400,5472740.5654,-1437136.6240,4035603.9414
4.8500,5465999.2925,-1530090.1993,3935909.0932
4.8600,5509050.5613,-1361432.9125,4147617.6488
4.8700,5560660.7450,-1377018.4394,4183642.3056
4.8800,5624375.0539,-1312340.5260,4312034.5279
4.8900,5644576.9261,-1303303.7099,4341273.2162
4.9000,5655592.9129,-1398667.3900,4256925.5229
4.9100,5688745.1454,-1422523.4043,4266221.7410
4.9200,5640978.8831,-1338437.1770,4302541.7061
4.9300,5550641.8088,-1258952.4871,4291689.3217
4.9400,5420929.8970,-1280422.2724,4140507.6246
4.9500,5305203.6721,-1370027.8033,3935175.8687
4.9600,5254994.4530,-1206684.4455,4048310.0074
4.9700,5236360.6229,-1186791.3688,4049569.2541
4.9800,5222818.9150,-1346360.7021,3876458.2129
4.9900,5209394.4679,-1378614.3204,3830780.1475
5.0000,5163410.1634,-1243154.3878,3920255.7756
5.0100,5182292.9074,-1191204.2639,3991088.6435
5.0200,5212595.4714,-1316771.9830,3895823.4883
5.0300,5217380.6148,-1339532.9445,3877847.6703
5.0400,5237857.9089,-1289899.8203,3947958.0886
5.0500,5229606.1179,-1271484.8077,3958121.3102
5.0600,5228130.6137,-1356283.0340,3871847.5797
5.0700,5221545.7975,-1403661.7818,3817884.0157
5.0800,5209380.6814,-1344542.8192,3864837.8622
5.0900,5231368.4559,-1334607.8272,3896760.6288
5.1000,5281289.1025,-1329032.3887,3952256.7138
5.1100,5333029.8192,-1410662.3753,3922367.4439
5.1200,5382791.3240,-1309378.3503,4073412.9737
